,title,content
0,散步,我们在田野散步：我，我的母亲，我的妻子和儿子。
1,散步,母亲本不愿出来的。
2,散步,她老了，身体不好，走远一点就觉得很累。
3,散步,我说，正因为如此，才应该多走走。
4,散步,母亲信服地点点头，便去拿外套。
5,散步,她现在很听我的话，就像我小时候很听她的话一样。
6,散步,天气很好。
7,散步,今年的春天来得太迟，太迟了，有一些老人挺不住。
8,散步,但是春天总算来了。
9,散步,我的母亲又熬过了一个严冬。
10,散步,这南方初春的田野，大块小块的新绿随意地铺着，有的浓，有的淡；
11,散步,树上的嫩芽也密了；
12,散步,田里的冬水也咕咕地起着水泡。
13,散步,这一切都使人想着一样东西生命。
14,散步,我和母亲走在前面，我的妻子和儿子走在后面。
15,散步,小家伙突然叫起来：“前面也是妈妈和儿子，后面也是妈妈和儿子。
17,散步,我们都笑了。
18,散步,后来发生了分歧：母亲要走大路，大路平顺；
19,散步,我的儿子要走小路，小路有意思。
20,散步,不过，一切都取决于我。
21,散步,我的母亲老了，她早已习惯听从她强壮的儿子；
22,散步,我的儿子还小，他还习惯听从他高大的父亲；
23,散步,妻子呢，在外面，她总是听我的。
24,散步,一霎时，我感到了责任的重大。
25,散步,我想一个两全的办法，找不出；
26,散步,我想拆散一家人，分成两路，各得其所，终不愿意。
27,散步,我决定委屈儿子，因为我伴同他的时日还长。
28,散步,我说：“走大路。
30,散步,但是母亲摸摸孙儿的小脑瓜，变了主意：“还是走小路吧。
32,散步,她的眼随小路望去：那里有金色的菜花，两行整齐的桑树，尽头一口水波粼粼的鱼塘。
33,散步,“我走不过去的地方，你就背着我。
35,散步,母亲对我说。
36,散步,这样，我们在阳光下，向着那菜花、桑树和鱼塘走去。
37,散步,到了一处，我蹲下来，背起了母亲，妻子也蹲下来，背起了儿子。
38,散步,我的母亲虽然高大，然而很瘦，自然不算重；
39,散步,儿子虽然很胖，毕竟幼小，自然也轻。
40,散步,但我和妻子都是慢慢地，稳稳地，走得很仔细，好像我背上的同她背上的加起来，就是整个世界。
41,秋天的怀念,"双腿瘫痪后,我的脾气变得暴怒无常。"
42,秋天的怀念,望着望着天上北归的雁阵，我会突然把面前的玻璃砸碎；
